4/12	328	13	25
4/13	217	19	21
4/14	181	11	30
4/15	209	34	29
4/16	221	10	36
4/17	164	20	38
4/18	233	16	42
4/19	264	31	50
4/20	205	12	28
4/21	211	8	19
4/22	130	27	66
4/23	262	21	41
4/24	238	5	39
4/25	216	14	73
4/26	279	23	31
4/27	243	11	78
4/28	189	28	48
4/29	243	12	16
4/30	217	34	52
5/1	246	35	33
5/2	277	15	41
5/3	254	24	50
5/4	203	22	36
5/5	250	24	45
5/6	289	6	24
5/7	175	46	37
5/8	203	8	44
5/9	206	11	46
5/10	214	31	46
5/11	251	23	36
5/12	0	0	0
